"Mor"	"Led"	"Car"	"Kno"	"Int"	"Hns"	"Ang"	"Hop"	"Afr"	"Prd"
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0
0	1	0	0	0	0	1	0	1	0
1	1	0	0	0	1	1	0	1	0
1	1	1	1	1	1	0	0	1	0
1	1	1	0	0	1	0	1	1	1
0	1	1	0	0	0	1	0	1	0
1	1	1	1	1	1	1	0	1	1
1	1	1	1	0	1	0	1	0	1
1	1	1	1	1	1	0	1	1	1
1	1	1	1	1	1	0	1	0	1
0	0	0	0	0	0	1	0	1	0
1	1	1	1	1	1	0	1	0	1
0	0	0	0	0	0	1	0	1	0
1	1	0	0	0	1	0	0	0	0
1	1	1	1	1	1	0	1	0	1
1	1	1	0	0	1	1	0	1	1
1	1	1	1	0	1	0	0	1	0
1	1	1	1	0	1	1	0	1	1
1	1	1	0	1	1	0	0	0	0
1	1	1	0	0	1	0	0	0	0
1	1	1	1	0	1	0	0	0	1
1	1	1	1	0	1	0	0	0	1
1	0	1	0	0	1	0	0	1	0
1	0	0	0	0	0	0	0	1	0
1	1	1	1	0	1	1	0	1	0
1	1	0	0	0	1	1	0	1	0
1	1	1	0	1	0	1	0	1	1
0	1	1	0	0	0	1	0	1	0
1	1	1	1	0	1	0	1	1	1
0	0	0	0	0	1	1	0	1	1
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0
1	0	1	0	0	1	1	0	1	0
1	1	1	1	0	1	0	1	0	1
0	0	0	0	0	0	1	0	1	0
0	1	0	0	0	0	1	0	1	0
1	1	1	1	0	1	0	1	0	1
1	1	1	0	1	1	0	1	0	0
1	1	1	0	0	1	0	1	0	0
1	1	1	0	1	1	0	1	0	1
1	1	1	1	1	1	0	1	0	1
1	1	1	1	1	1	0	0	0	0
1	1	1	1	0	1	0	1	0	1
0	0	0	0	0	0	1	0	1	0
1	1	1	1	1	1	0	1	0	1
1	1	1	1	1	1	0	1	0	1
1	1	1	0	0	1	0	0	1	0
1	1	1	1	1	1	0	1	1	1
0	0	0	0	0	0	1	0	1	0
1	1	1	1	0	1	1	0	0	1
1	0	1	0	0	1	1	1	1	1
0	1	0	0	0	0	1	0	1	1
0	0	0	0	0	0	0	0	1	0
1	1	1	1	1	1	0	1	0	1
0	0	0	0	0	0	1	0	1	0
0	0	1	0	0	0	0	0	1	0
1	1	1	0	0	1	0	1	1	1
1	1	1	1	1	1	0	1	1	1
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0
1	1	1	1	1	1	1	1	1	0
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0
0	1	1	1	1	1	0	1	0	0
0	0	0	0	0	0	1	0	1	0
1	1	1	1	1	1	1	1	0	1
1	1	1	1	1	1	0	1	1	1
1	1	1	0	0	1	0	1	0	1
1	1	1	0	0	0	1	0	1	0
1	1	1	1	1	1	0	1	1	1
0	0	0	0	0	0	1	0	1	0
0	1	1	0	0	0	0	0	1	0
1	1	1	1	1	1	1	1	1	1
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0
1	0	0	0	0	1	0	0	0	0
0	1	1	1	1	1	0	1	1	1
1	1	1	0	0	1	1	1	1	1
1	1	1	0	0	1	0	1	0	1
1	1	1	1	0	1	1	1	0	1
1	1	1	0	0	1	0	0	1	0
0	0	1	1	1	0	1	0	1	0
1	1	1	1	1	1	1	1	1	1
0	0	0	0	0	0	1	0	1	0
0	1	1	1	0	0	1	1	1	1
1	1	1	1	1	1	0	1	1	1
0	1	0	0	0	0	1	0	1	0
1	1	1	1	1	1	1	1	0	0
1	1	1	1	1	1	0	1	0	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	0	0	1	1
1	1	1	1	1	1	0	1	0	1
1	1	1	0	0	1	1	1	0	1
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0
0	1	0	0	0	1	0	1	0	0
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0
0	1	1	1	0	0	0	0	0	0
0	0	0	0	0	1	1	0	1	0
0	0	0	0	0	0	1	1	1	1
0	0	0	0	0	0	1	0	1	0
1	1	1	1	0	0	0	0	1	0
0	0	1	0	0	0	1	1	1	1
0	1	1	0	0	1	0	0	1	0
0	0	0	0	0	0	1	0	1	0
1	1	1	1	1	1	0	1	1	1
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0
1	1	1	1	0	1	0	1	0	1
0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	1	1	0	1	0
0	0	0	0	0	0	1	0	1	0
0	0	1	0	0	0	1	0	1	0
1	1	1	1	0	1	1	0	1	1
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	1	0	1	0
0	0	1	0	0	1	1	0	1	0
0	1	1	0	0	1	0	1	0	1
0	0	0	0	0	0	1	0	1	0
0	1	0	0	0	0	0	0	1	0
