age_range	score
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	0
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	2
1	2
1	2
1	2
1	2
1	3
1	3
1	4
1	4
1	4
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	3
2	3
2	4
2	4
2	4
2	4
2	5
2	11
2	12
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	0
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	2
3	2
3	2
3	2
3	2
3	2
3	2
3	2
3	2
3	3
3	3
3	4
3	4
3	4
3	4
3	8
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	1
4	1
4	1
4	1
4	1
4	1
4	1
4	1
4	2
4	2
4	2
4	2
4	2
4	2
4	2
4	2
4	4
4	4
4	4
4	4
4	4
4	4
4	6
4	6
4	10
4	10
4	10
4	10
4	12
4	12
4	12
4	12
4	12
4	12
4	12
4	12
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	0
5	1
5	1
5	2
5	2
5	2
5	2
5	2
5	2
5	2
5	2
5	2
5	2
5	2
5	2
5	2
5	3
5	3
5	4
5	4
5	4
5	4
5	4
5	5
5	6
5	6
5	6
5	6
5	7
5	8
5	8
5	8
5	8
5	10
5	10
5	10
5	10
5	12
5	12
5	12
5	12
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	0
6	2
6	2
6	3
6	3
6	3
6	3
6	4
6	4
6	4
6	4
6	4
6	5
6	6
6	6
6	6
6	6
6	6
6	8
6	8
6	8
6	8
6	8
6	8
6	8
6	8
6	8
6	8
6	8
6	8
6	9
6	10
6	10
6	10
6	10
6	11
6	11
6	11
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	0
7	1
7	2
7	2
7	2
7	2
7	2
7	4
7	4
7	4
7	4
7	4
7	5
7	6
7	6
7	6
7	6
7	6
7	7
7	7
7	8
7	8
7	8
7	8
7	8
7	8
7	8
7	8
7	8
7	9
7	9
7	9
7	9
7	10
7	10
7	10
7	10
7	10
7	10
7	10
7	10
7	10
7	10
7	10
7	10
7	11
7	11
7	11
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
8	0
8	2
8	8
8	8
8	10
8	10
8	10
8	11
8	11
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
