"BehaviorSpace results (NetLogo 6.3.0)"
"Social impact theory.nlogo"
"experiment"
"04/19/2023 15:52:21:143 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","max-h","probability-of-spin-up","[step]","magnetization"
"5","100","50","0","-0.1292517006802721"
"3","100","50","0","0.015873015873015872"
"4","100","50","0","-0.024943310657596373"
"2","100","50","0","0.05215419501133787"
"1","100","50","0","-0.061224489795918366"
"5","100","50","1","-0.1292517006802721"
"3","100","50","1","0.07029478458049887"
"1","100","50","1","0.024943310657596373"
"4","100","50","1","0.02040816326530612"
"2","100","50","1","0.1111111111111111"
"3","100","50","2","0.13378684807256236"
"1","100","50","2","0.1564625850340136"
"5","100","50","2","-0.12018140589569161"
"4","100","50","2","0.047619047619047616"
"2","100","50","2","0.2290249433106576"
"3","100","50","3","0.1473922902494331"
"1","100","50","3","0.2199546485260771"
"2","100","50","3","0.31065759637188206"
"4","100","50","3","0.12018140589569161"
"5","100","50","3","-0.12018140589569161"
"3","100","50","4","0.1655328798185941"
"1","100","50","4","0.2562358276643991"
"2","100","50","4","0.36054421768707484"
"3","100","50","5","0.2018140589569161"
"4","100","50","4","0.19727891156462585"
"5","100","50","4","-0.12018140589569161"
"1","100","50","5","0.31065759637188206"
"2","100","50","5","0.3968253968253968"
"3","100","50","6","0.2834467120181406"
"4","100","50","5","0.22448979591836735"
"5","100","50","5","-0.10204081632653061"
"1","100","50","6","0.3741496598639456"
"2","100","50","6","0.4512471655328798"
"3","100","50","7","0.3242630385487528"
"3","100","50","8","0.36054421768707484"
"4","100","50","6","0.2653061224489796"
"2","100","50","7","0.5102040816326531"
"3","100","50","9","0.41950113378684806"
"1","100","50","7","0.41496598639455784"
"5","100","50","6","-0.08843537414965986"
"3","100","50","10","0.4376417233560091"
"4","100","50","7","0.30612244897959184"
"2","100","50","8","0.5736961451247166"
"1","100","50","8","0.4331065759637188"
"5","100","50","7","-0.1111111111111111"
"3","100","50","11","0.48299319727891155"
"2","100","50","9","0.6054421768707483"
"3","100","50","12","0.5056689342403629"
"4","100","50","8","0.35600907029478457"
"1","100","50","9","0.46938775510204084"
"5","100","50","8","-0.1111111111111111"
